Sample,Original.label,Treatment,Weeks.post.transplant,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,MPV,RDW,Percent.Lym,Percent.Mon,Percent.Gra,Number.Lym,Number.Mon,Number.Gra,GFP
MIG.19,PL_miR BMT_MIG_3,control,16,9.2,11.25,16.8,54.7,49,14.9,30.7,968,6.2,16.1,60.1,7.3,32.6,5.5,0.6,3.1,56.3
MIG.20,PL_miR BMT_MIG_4,control,16,8.3,12.69,16.6,54.4,43,13.1,30.6,1116,6.5,17,34.2,5.1,60.7,2.8,0.4,5.1,7.71
MIG.21,PL_miR BMT_MIG_5,control,16,8.5,12.28,17,55.6,45,13.8,30.5,906,6.2,16,73,7.6,19.4,6.1,0.6,1.8,30.5
MIG.22,PL_miR BMT_MIG_6,control,16,9.5,11.29,16.3,52.8,47,14.4,30.9,614,6.7,17,67.4,9.1,23.5,6.3,0.8,2.4,81.4
MIG.23,PL_miR BMT_MIG_7,control,16,8.6,12,15.9,52.6,44,13.3,30.3,934,6.4,15.9,74.6,7.9,17.5,6.4,0.6,1.6,61.6
MIG.24,PL_miR BMT_MIG_8,control,16,5.2,10.47,15.2,49.5,47,14.5,30.7,948,6.7,15.9,72.7,8,19.3,3.7,0.4,1.1,59.9
MIG.25,PL_miR BMT_MIG_9,control,16,10.2,12.56,17.5,58,46,14,30.2,712,6.2,16.3,63.8,7.5,28.7,6.4,0.7,3.1,52.7
miR532.22,PL_miR BMT_532_1,miR-532,16,6.8,12.21,15.6,51.6,42,12.8,30.2,996,6.1,16.2,72.6,7.9,19.5,4.9,0.5,1.4,66.9
miR532.23,PL_miR BMT_532_2,miR-532,16,8.1,12.01,16,53.2,44,13.3,30,760,7,17.6,68.7,9.3,22,5.5,0.7,1.9,59
miR532.24,PL_miR BMT_532_3,miR-532,16,5.5,11.51,14.9,49.5,43,12.9,30,1146,6.1,15.5,79.9,7.2,12.9,4.3,0.3,0.9,84.2
miR532.25,PL_miR BMT_532_4,miR-532,16,6.6,11.27,16.4,52.8,47,14.6,31.1,872,6.1,15.6,49.4,7.3,43.3,3.2,0.4,3,18.9
miR532.26,PL_miR BMT_532_5,miR-532,16,8.4,10.87,15.6,49.7,46,14.4,31.4,598,6.6,17.4,69.3,7.8,22.9,5.8,0.6,2,17.8
miR532.27,PL_miR BMT_532_6,miR-532,16,9.1,12.76,16.6,55.9,44,13,29.6,1034,6,15.7,72.2,7.9,19.9,6.5,0.7,1.9,31.9
miR532.28,PL_miR BMT_532_7,miR-532,16,7.6,11.45,15.7,51.3,45,13.7,30.6,962,6.1,17.1,74.7,7.7,17.6,5.7,0.5,1.4,67.9
miR532.29,PL_miR BMT_532_8,miR-532,16,6.9,11.67,15.8,51.7,44,13.5,30.5,677,6.2,16.1,71,8.8,20.2,4.8,0.6,1.5,64
miR532.30,PL_miR BMT_532_9,miR-532,16,6.2,10.98,14.9,48.6,44,13.6,30.6,1010,6,15.7,78.8,7.2,14,4.8,0.4,1,29.8
miR532.31,PL_miR BMT_532_10,miR-532,16,5.1,11.88,15.7,51.8,44,13.3,30.4,1012,6.4,17,67.7,8.2,24.1,3.4,0.4,1.3,52.9
miR532.32,PL_miR BMT_532_11,miR-532,16,7.7,11.89,16.1,52.6,44,13.6,30.7,1262,6.2,16.2,64,6.5,29.5,4.9,0.4,2.4,28.2
miR532.33,PL_miR BMT_532_12,miR-532,16,7.4,11.68,16.5,53.5,46,14.2,30.9,885,6.2,16.7,65.6,9.2,25.2,4.8,0.6,2,47.4
MIG.17,PL_miR BMT_MIG_1,control,21,4.9,12.07,16.1,51.6,43,13.4,31.3,1167,6.1,16.3,72.3,8,19.7,3.5,0.3,1.1,46.5
MIG.18,PL_miR BMT_MIG_2,control,21,15.3,12.78,16.4,55.6,44,12.8,29.5,173,10,16.6,44.1,9.3,46.6,6.7,1.4,7.2,37.3
MIG.19,PL_miR BMT_MIG_3,control,21,8.3,11.82,17.9,58.6,50,15.2,30.6,792,6.4,15.7,73.8,7.9,18.3,6.1,0.6,1.6,15.2
MIG.20,PL_miR BMT_MIG_4,control,21,6.6,12.93,16.7,56.7,44,12.9,29.5,1350,6.6,18.1,76.2,7.8,16,5,0.5,1.1,13.5
MIG.21,PL_miR BMT_MIG_5,control,21,4.9,12.27,16.9,55.1,45,13.7,30.6,872,5.9,15.8,73.6,7.8,18.6,3.6,0.3,1,30.3
MIG.22,PL_miR BMT_MIG_6,control,21,5.4,10.39,15.6,50.6,49,15,30.8,641,6.4,17.8,58.5,7.8,33.7,3.1,0.4,1.9,50.5
MIG.23,PL_miR BMT_MIG_7,control,21,3.3,13.48,17.6,57.8,43,13.1,30.5,789,6.6,15.9,24.9,6.7,68.4,0.8,0.2,2.3,63
MIG.24,PL_miR BMT_MIG_8,control,21,3.6,11.36,16.2,51.9,46,14.3,31.3,561,7.5,15.7,62.3,8.9,28.8,2.2,0.3,1.1,31.2
MIG.25,PL_miR BMT_MIG_9,control,21,7.9,11.78,16.1,54,46,13.7,29.8,706,6.3,16.4,61.7,8.1,30.2,4.8,0.6,2.5,43.2
miR532.22,PL_miR BMT_532_1,miR-532,21,2.7,11.96,15.6,51.6,43,13,30.2,908,6.5,16.4,68.5,8.6,22.9,1.8,0.2,0.7,66.3
miR532.23,PL_miR BMT_532_2,miR-532,21,4.5,10.62,13.9,46.6,44,13.1,29.8,670,6.5,16.6,57,8.2,34.8,2.5,0.3,1.7,68.3
miR532.24,PL_miR BMT_532_3,miR-532,21,3.5,12.6,16.6,55.2,44,13.1,30,1054,6.6,16.3,55.9,8.9,35.2,1.9,0.3,1.3,72
miR532.25,PL_miR BMT_532_4,miR-532,21,5.2,11.32,16.2,53.3,47,14.3,30.3,786,6.1,15.9,65.2,9.8,25,3.3,0.5,1.4,16.5
miR532.26,PL_miR BMT_532_5,miR-532,21,8.7,11.56,16.4,54.1,47,14.2,30.3,609,6.4,17.2,73.6,6.8,19.6,6.4,0.5,1.8,15
miR532.27,PL_miR BMT_532_6,miR-532,21,4,11.84,15.5,51.1,43,13.1,30.4,1076,5.9,15.5,64.1,9.4,26.5,2.5,0.3,1.2,24.1
miR532.28,PL_miR BMT_532_7,miR-532,21,5.1,11.77,16.5,53.9,46,14,30.6,1156,6.2,16.3,77.5,7.5,15,3.9,0.3,0.9,63.5
miR532.29,PL_miR BMT_532_8,miR-532,21,5.5,11.46,15,49.6,43,13.1,30.3,725,6.4,16.5,59.8,9.7,30.5,3.3,0.5,1.7,63.3
miR532.30,PL_miR BMT_532_9,miR-532,21,4.1,13.46,17.1,58.2,43,12.7,29.5,917,6.3,15.8,36.8,6,57.2,1.5,0.2,2.4,21.4
miR532.31,PL_miR BMT_532_10,miR-532,21,9.8,10.75,14.4,47.5,44,13.4,30.2,1327,6.7,16.8,46.9,6.8,46.3,4.6,0.6,4.6,56.4
miR532.32,PL_miR BMT_532_11,miR-532,21,8,12.32,16.4,54.9,45,13.3,29.9,1344,6.3,16.6,64.6,7.3,28.1,5.1,0.5,2.4,25.7
miR532.33,PL_miR BMT_532_12,miR-532,21,7.4,11.26,15.7,51.8,46,13.9,30.3,699,6.3,17,44.6,8.7,46.7,3.2,0.6,3.6,51.9
MIG.17,PL_miR BMT_MIG_1,control,21,4.9,12.07,16.1,51.6,43,13.4,31.3,1167,6.1,16.3,72.3,8,19.7,3.5,0.3,1.1,46.5
MIG.18,PL_miR BMT_MIG_2,control,21,15.3,12.78,16.4,55.6,44,12.8,29.5,173,10,16.6,44.1,9.3,46.6,6.7,1.4,7.2,37.3
MIG.19,PL_miR BMT_MIG_3,control,21,8.3,11.82,17.9,58.6,50,15.2,30.6,792,6.4,15.7,73.8,7.9,18.3,6.1,0.6,1.6,15.2
MIG.20,PL_miR BMT_MIG_4,control,21,6.6,12.93,16.7,56.7,44,12.9,29.5,1350,6.6,18.1,76.2,7.8,16,5,0.5,1.1,13.5
MIG.21,PL_miR BMT_MIG_5,control,21,4.9,12.27,16.9,55.1,45,13.7,30.6,872,5.9,15.8,73.6,7.8,18.6,3.6,0.3,1,30.3
MIG.22,PL_miR BMT_MIG_6,control,21,5.4,10.39,15.6,50.6,49,15,30.8,641,6.4,17.8,58.5,7.8,33.7,3.1,0.4,1.9,50.5
MIG.23,PL_miR BMT_MIG_7,control,21,3.3,13.48,17.6,57.8,43,13.1,30.5,789,6.6,15.9,24.9,6.7,68.4,0.8,0.2,2.3,63
MIG.24,PL_miR BMT_MIG_8,control,21,3.6,11.36,16.2,51.9,46,14.3,31.3,561,7.5,15.7,62.3,8.9,28.8,2.2,0.3,1.1,31.2
MIG.25,PL_miR BMT_MIG_9,control,21,7.9,11.78,16.1,54,46,13.7,29.8,706,6.3,16.4,61.7,8.1,30.2,4.8,0.6,2.5,43.2
miR532.22,PL_miR BMT_532_1,miR-532,21,2.7,11.96,15.6,51.6,43,13,30.2,908,6.5,16.4,68.5,8.6,22.9,1.8,0.2,0.7,66.3
miR532.23,PL_miR BMT_532_2,miR-532,21,4.5,10.62,13.9,46.6,44,13.1,29.8,670,6.5,16.6,57,8.2,34.8,2.5,0.3,1.7,68.3
miR532.24,PL_miR BMT_532_3,miR-532,21,3.5,12.6,16.6,55.2,44,13.1,30,1054,6.6,16.3,55.9,8.9,35.2,1.9,0.3,1.3,72
miR532.25,PL_miR BMT_532_4,miR-532,21,5.2,11.32,16.2,53.3,47,14.3,30.3,786,6.1,15.9,65.2,9.8,25,3.3,0.5,1.4,16.5
miR532.26,PL_miR BMT_532_5,miR-532,21,8.7,11.56,16.4,54.1,47,14.2,30.3,609,6.4,17.2,73.6,6.8,19.6,6.4,0.5,1.8,15
miR532.27,PL_miR BMT_532_6,miR-532,21,4,11.84,15.5,51.1,43,13.1,30.4,1076,5.9,15.5,64.1,9.4,26.5,2.5,0.3,1.2,24.1
miR532.28,PL_miR BMT_532_7,miR-532,21,5.1,11.77,16.5,53.9,46,14,30.6,1156,6.2,16.3,77.5,7.5,15,3.9,0.3,0.9,63.5
miR532.29,PL_miR BMT_532_8,miR-532,21,5.5,11.46,15,49.6,43,13.1,30.3,725,6.4,16.5,59.8,9.7,30.5,3.3,0.5,1.7,63.3
miR532.30,PL_miR BMT_532_9,miR-532,21,4.1,13.46,17.1,58.2,43,12.7,29.5,917,6.3,15.8,36.8,6,57.2,1.5,0.2,2.4,21.4
miR532.31,PL_miR BMT_532_10,miR-532,21,9.8,10.75,14.4,47.5,44,13.4,30.2,1327,6.7,16.8,46.9,6.8,46.3,4.6,0.6,4.6,56.4
miR532.32,PL_miR BMT_532_11,miR-532,21,8,12.32,16.4,54.9,45,13.3,29.9,1344,6.3,16.6,64.6,7.3,28.1,5.1,0.5,2.4,25.7
miR532.33,PL_miR BMT_532_12,miR-532,21,7.4,11.26,15.7,51.8,46,13.9,30.3,699,6.3,17,44.6,8.7,46.7,3.2,0.6,3.6,51.9
